Bendito Teatro, Tres entradas dobles para sus montajes. ,
Plastic Lup, Un canasto maceta.,
Etnia, Un set de 6 botellas Etnia.,
Etnia, Otro sets de 6 botellas Etnia.,
Más 56, Caja de 12 cervezas.,
Munami, Un mix de chips de algas.,
Aperitivo.cl, Dos molinillos para pimienta italianos.,
Semilla, Canasta de Pan,
DelBosque, Mix mostzas artesanales. ,
MN Designs, Un par de aros bellos. ,
MN Designs, Otro par de aros bellos. ,
La Maestranza, Almuerzo para dos.,
Cerveza Del Puerto, 3 growler.,
Cerveza Del Puerto, 3 growler.,
Dr Kombu, Una cajas de 12u.,
Dr Kombu, Otra cajas de 12u.,
Curacaribs, Tres costillares + Una salsa bbq.,
Curacaribs, Tres costillares + Una salsa bbq.,
Curacaribs, Tres costillares + Una salsa bbq.,
